Year,Country Name,Population,GDP,Electric power consumption,Fossil fuel energy consumption,Renewable energy consumption,Fertilizer consumption,Temperature annual mean,Temperature std across months,Number of frost days,Number of hot days,Total CO2 emissions
2007,China,1317885000,3.60406E+12,2325.926769027647,89.30917398288543,14.9,385.3146357865108,1.60475,0.9441017,149.99,6.02,7522.0032
2008,China,1324655000,4667346414521.947,2446.369054584024,89.52115711800536,14.1,372.6581023148601,1.0385,0.97493363,154.5,5.62,7752.2237
2009,China,1331260000,5189577094997.582,2612.456620044169,90.16127127,13.4,383.9675873216207,1.22475,1.006748323812859,150.53,5.76,8319.1638
2010,China,1337705000,6.19256E+12,2943.589954,90.80662758145954,12.3,425.2393402939925,0.9783333333333334,0.7099810247855611,153.63,7.13,9106.0051
2011,China,1345035000,7671757207851.289,3295.784868051761,91.42473187813448,11.3,444.6498062015504,0.766,1.120361920690512,155.71,6.76,9955.7482
2012,China,1354190000,8673664713189.244,3466.020277804444,91.14921917962155,11.5,457.3332384424139,0.54325,0.7347631279308092,155.05,4.76,10270.741
2013,China,1363240000,9743124247267.244,3757.185088465714,91.00012191436451,11.5,458.5161554761573,1.212416666666667,0.546583854,151.95,7.13,10760.43
2014,China,1371860000,10674533168257.36,4006.168267899057,89.55484002130432,11.9,477.5792777183311,1.012166666666667,0.7515786533838107,150.87,4.73,10881.1042
2015,China,1379860000,11280814787468.91,4017.077819488934,71.06955889045516,12.2,465.6126796366004,1.443583333333333,0.7641736777213816,149.84,4.96,10749.8966
2016,China,1387790000,11456024084961.98,4237.545305845985,83.87484027537465,12.6,480.0550717484046,1.459583333333333,0.7866732123668351,148.15,6.81,10773.7258
2017,China,1396215000,12537559062282.92,4571.042425414424,81.49974639571137,13.1,460.4577548058835,1.4765,0.7701639976870728,148.09,7.24,10999.4188
2018,China,1402760000,14147765772963.76,4842.206792323705,78.81471519,13.5,442.5532465651757,1.278083333333333,0.9087964071904236,147.34,6.42,11527.5117
2019,China,1407745000,14560167101283.44,5082.387790402381,81.39643395275549,14.3,427.7508472335941,1.53025,0.5737883066369804,148.36,6.75,11813.0582
2020,China,1411100000,14996414166715.09,5261.941038905818,80.57029851188241,14.9,414.4914461337112,1.589166666666667,0.8549159640312932,149.26,5.15,11964.1285
2021,China,1412360000,18201698719563.96,5847.802260047013,80.26048255,15.2,406.2343321249942,1.84,1.018752177911782,146.81,6.37,12551.8645
2022,China,1412175000,18316765021690.16,6112.135535609963,80.74240500508134,14.800000000000002,395.1390323053101,1.753333333333333,1.055232781059337,146.48,10.45,12518.6844
2023,China,1410710000,18270356654533.21,6523.719261931935,80.52439535585661,14.966666666666669,394.0197422968981,2.009083333333333,0.8171663904751726,147.33,8.43,13021.242
1990,India,864972221,320979026420.0351,270.9046537114167,58.72196723849349,53,73.52302412225696,-0.038666667,0.6620526581943631,13.14,57.48,600.6812
1991,India,883927600,270105341879.2264,289.2612471881181,59.90357970288592,52,77.99931977791668,0.1385,0.3564885458655486,13.9,76.33,646.3805
1992,India,902957070,288208070278.0129,301.7186631032193,60.97755600135566,51.5,74.70166435165267,0.033166667,0.364410216,13.63,77.53,669.6564
1993,India,922118387,279295648982.5292,317.5991327456309,61.58776525234547,51.5,76.17673723444823,0.2008333333333333,0.3829640612671407,13.75,73.31,699.7472
1994,India,941163767,3.27275E+11,337.3291781216648,62.21298221330684,50.5,83.45589293954777,0.072833333,0.5414195590195175,12.99,70.76,743.8494
1995,India,960301044,360281909643.4891,354.3534625169063,64.11885885460104,49.5,85.70285527234098,0.266,0.5537522008985608,13.58,75.22,796.4452
1996,India,979678458,392896866204.5158,354.4458869789704,64.59502315325486,49.1,89.04232883092688,0.2386666666666667,0.4091247432697704,13.52,78.62,833.4883
1997,India,999133762,4.15868E+11,369.3969857061041,65.36867244125091,47.9,100.1725608133613,-0.0755,0.5560039718083556,13.78,64.48,877.681
1998,India,1018665080,421351317224.9413,379.5997404760355,65.54355820025913,48,104.0679516012118,0.6013333333333334,0.4149671339060748,12.94,73.93,900.5955
1999,India,1038225823,458821052615.7898,383.1295573544986,66.99997969547512,47.1,112.1710203,0.46025,0.5358935100994102,13.1,79.36,961.5943
2000,India,1057922733,468395521654.4579,384.9893638687883,67.25160049,46.9,103.7861181880321,0.3454166666666666,0.6200700845245014,13.17,74.61,996.8909
2001,India,1077898575,485440139204.1705,384.8182098209008,67.12901706864484,47.1,108.1821987,0.48625,0.6079869961602797,12.93,68.16,1012.998
2002,India,1097600380,514939140318.7556,401.9987675295812,67.93666427644597,45.8,100.3290553006881,0.8424999999999999,0.385495244,13.33,90.3,1051.0846
2003,India,1116803006,607700687237.3179,419.0551041550474,68.16546200360287,45.6,105.1772038623521,0.58825,0.2978347206645547,13.3,77.59,1083.014
2004,India,1135991513,709152728830.7745,441.6282993832543,69.01828735313458,44.9,115.2715100732085,0.58425,0.5828875141626098,13.37,83.61,1168.0565
2005,India,1154676322,820383763511.4454,458.8783799448171,69.34750849680626,44.2,127.6145919570507,0.48425,0.3870583773799502,13.53,81.16,1217.7273
2006,India,1172878890,940259888787.7214,500.4770782429207,70.04389071511903,43.2,136.4039215,0.7123333333333334,0.6798299215408382,12.81,76.77,1299.6787
2007,India,1190676021,1216736438834.955,533.1248709173425,70.95317495650336,41.5,142.8352254749339,0.5668333333333333,0.2752165309150032,12.77,77.23,1415.2655
2008,India,1207930964,1198895139005.919,555.1045713569439,71.43996710292139,39.4,153.3493908035065,0.3558333333333333,0.7318726930886881,12.88,69.09,1519.7704
2009,India,1225524753,1341888016994.898,588.3243061676454,75.57244496993198,37.4,167.4572959144905,1.088666666666667,0.3903484198621647,13.47,93.89,1621.1797
2010,India,1243481564,1675615519484.959,629.8959491449284,74.84569360819648,36.2,179.0358769242528,1.04475,0.6556287217879745,13.1,89.53,1730.0542
2011,India,1261224954,1823051829894.546,678.6037631792686,74.91097352691001,35,180.7482911727046,0.4038333333333333,0.4978031460549664,13.05,71.68,1845.6437
2012,India,1278674502,1827637590410.414,709.2923168338896,75.07474778885921,34.8,163.1220216,0.4900833333333334,0.37266662,13.4,87.77,2015.2876
2013,India,1295829511,1856721507621.576,743.8015509125104,74.98186720683603,34.9,156.4956980861917,0.3810833333333334,0.3710057183596441,13.02,69.48,2072.6256
2014,India,1312277191,2039126479154.517,808.2934057489078,75.78572873440874,33.9,163.4980794181372,0.4906666666666666,0.5649816122868268,13.53,88.04,2237.6647
2015,India,1328024498,2103588360044.939,841.0853878691024,75.28078124,33.4,171.0382129362649,0.7952499999999999,0.6743168302066915,13.2,80.77,2278.2296
2016,India,1343944296,2294796885663.163,879.9456967969452,75.34945906153759,33,166.0030578887773,1.079583333333333,0.4799099669613967,12.27,86.6,2311.9771
2017,India,1359657400,2651474262755.452,918.3136869626128,75.47198967977143,32.5,170.5692934346836,0.92525,0.3409386858366178,12.66,87.2,2441.2015
2018,India,1374659064,2702929641648.741,970.8341762332424,75.36740999489234,32.9,176.0712126474485,0.8184166666666667,0.3690782343291942,12.74,86.89,2556.7189
