Year,Country Name,Population,GDP,Electric power consumption,Fossil fuel energy consumption,Renewable energy consumption,Fertilizer consumption,Temperature annual mean,Temperature std across months,Number of frost days,Number of hot days,Total CO2 emissions
1998,United States,275854000,9.06282E+12,13154.76302681853,86.12255126829575,4.5,112.3398327902978,1.339666666666667,0.7277062517863158,110.1,14.64,5744.8765
1999,United States,279040000,9.63117E+12,13281.86998279817,85.81893598369297,5.7,111.7610623300798,0.72275,0.7415892983990532,114.43,9.63,5761.8713
2000,United States,282162411,1.02509E+13,13671.05202400613,85.89915104088033,5.4,108.6837834202962,0.8610833333333333,1.342341453,121.76,15.03,5928.7614
2001,United States,284968955,1.05819E+13,13046.61414784639,86.38617718340251,4.7,110.0908511661731,0.9651666666666668,0.6822838892686501,117.7,11.34,5877.6294
2002,United States,287625193,1.09291E+13,13296.18229930227,86.28080862,4.8,111.8817588465518,1.015,0.8491696925036047,121.9,11.4,5726.7267
2003,United States,290107933,1.14564E+13,13307.49200850016,86.31084917343853,5.3,124.1937345466819,0.92825,0.5927666945491006,115.96,12.46,5792.9233
2004,United States,292805298,1.22172E+13,13388.58971055913,86.15756073885285,5.5,119.2321954574183,0.8875000000000001,0.8240128943165879,112.02,7.03,5879.9871
2005,United States,295516599,1.30392E+13,13704.57705,86.05262777476959,5.8,115.9113283,1.110583333333333,0.5642023068506151,109.25,12.2,5888.1657
2006,United States,298379912,1.38156E+13,13583.26695933874,85.66259483439974,6.4,126.5793950239041,1.135083333333333,0.9885568992503948,110.84,15.45,5790.0078
2007,United States,301231207,1.44742E+13,13657.45282825229,85.63845777016003,6.3,120.3752582056836,1.01525,0.6026198532242363,113.58,11.47,5872.7014
2008,United States,304093966,1.47699E+13,13663.42797,85.00510714492299,6.8,99.97286196561456,0.1485,0.3702068115706859,123.81,11.24,5689.2644
2009,United States,306771529,1.44781E+13,12913.71468830147,84.19511991631768,7.3,118.9569043004491,0.35925,0.7150211098282344,118.41,11.77,5273.1152
2010,United States,309378227,1.5049E+13,13392.69101183387,84.12338681384271,7.4,124.7420743608176,0.69925,0.5856771188120635,117.8,13.89,5521.4993
2011,United States,311839461,1.55997E+13,13235.00876625746,83.88767367585744,8.4,130.2821372455489,0.7430833333333333,0.5485027283939029,117.54,21.09,5307.6289
2012,United States,314339099,1.6254E+13,12945.15703883213,83.94460296123712,8.5,134.9880674106335,1.395583333333333,0.9511489944915162,107.34,18.87,5087.711
2013,United States,316726282,1.68432E+13,12972.21997,82.97288769928261,8.9,135.6734778616687,0.5045000000000001,0.7535034284372345,125.71,12.29,5224.7089
2014,United States,319257560,1.75507E+13,12962.14254096285,83.40198975206661,9,128.0892482,0.7696666666666667,0.8957181786452453,115.07,10.34,5243.772
2015,United States,321815121,1.8206E+13,12828.81608288381,82.32581627597875,8.9,129.1843303,1.561,0.8224907294310374,105.06,12.04,5132.9841
2016,United States,324353340,1.86951E+13,12806.19771018852,82.90023124244266,9.3,128.0400323899908,1.9915,1.063479861899917,102.06,13.07,5028.952
2017,United States,326608609,1.94773E+13,12604.16255592332,82.87601242349601,9.7,127.9672357307891,1.561333333333333,0.8534982262560492,103.52,12.11,4959.4579
2018,United States,328529577,2.05331E+13,13054.40453539439,82.70068665,9.9,130.3376845114334,1.234333333333333,0.8038715002342656,117.18,14.4,5118.3744
2019,United States,330226227,2.1381E+13,12678.25405036651,82.82564343774816,10.2,130.0854913795822,1.041916666666667,0.7060516338924671,115.18,13.75,4967.9122
2020,United States,331577720,2.10605E+13,12393.43825634605,82.80078083618332,11,134.6025412856665,1.3135,0.6897526730647734,110.51,15.15,4466.8765
2021,United States,332099760,2.33151E+13,12556.09157922909,82.77570364041243,10.9,130.5863616349673,1.253833333333333,1.221335869265926,110.26,13.46,4754.3785
2022,United States,334017321,2.56048E+13,12968.16280973644,82.80070930478131,10.700000000000001,127.8047905772308,0.9879166666666668,0.5944238749037218,120.12,19.17,4815.7665
2023,United States,336806231,2.72922E+13,12551.22563335237,82.79239792712569,10.866666666666667,127.7969484229158,1.434083333333333,1.053586609185764,110.03,17.95,4618.2675
