Country Name,Year,Population,GDP,Electric power consumption,Industry,Fossil fuel energy consumption,Renewable energy consumption,Fertilizer consumption,Temperature annual mean,Temperature std across months,Number of frost days,Number of hot days,Total CO2 emissions
China,1991,1150780000.0,384510452961.6725,548.9537531065886,41.36470267184392,74.4546361271812,33.1,237.5103103103103,0.4291666666666667,0.3877341944625925,156.77,4.49,2550.1985
China,1992,1164970000.0,428502354788.0691,604.6945414903388,42.95568711074312,75.03256120052593,32.8,237.60781122864117,0.1705833333333333,0.6552146541825478,162.48,4.16,2669.7881
China,1993,1178440000.0,446557291212.14764,662.6370455856895,45.98771588818443,76.03419109295163,31.5,206.7543281121187,0.20074999999999998,0.9229341006630248,160.61,1.94,2890.1814
China,1994,1191835000.0,566929539493.172,727.1073596596844,45.95072661484747,76.56558192396297,31.1,238.95608947804473,0.8008333333333333,0.7735105939086347,154.38,5.03,3046.9201
China,1995,1204855000.0,738190896227.5504,770.2802411908486,46.51583290997155,77.8894508666135,29.4,297.5430674025757,0.5253333333333333,0.472179050314132,158.79,4.76,3365.775
China,1996,1217550000.0,868523936530.0826,821.0808591022956,46.845292407208916,78.69663462026172,30.5,301.52758109251795,0.23900000000000002,0.39256485663730356,161.08,3.82,3340.2565
China,1997,1230075000.0,967753570434.6671,852.7406865435034,46.79965779869118,78.50886649824544,30.0,299.4533315692093,0.6966666666666667,0.5819377591766628,157.87,5.76,3437.3194
China,1998,1241935000.0,1037134141760.352,870.6172223183983,45.44113231521047,78.71810377326341,29.5,300.9925276903885,1.3771666666666667,0.8925020852761197,149.5,5.26,3522.0334
China,1999,1252735000.0,1103843203575.635,913.9634479758289,44.95553916713815,79.20040880677239,30.3,306.1078337278094,1.1594166666666668,0.8994275455656349,153.92,4.95,3447.7709
China,2000,1262645000.0,1223754919971.0479,992.9433847201708,45.07383151775861,79.92246260601699,29.6,287.4484879032258,0.5555,0.620238865276919,158.11,5.4,3647.8773
China,2001,1271850000.0,1355036590251.524,1076.5491213586508,44.27654360260099,80.83314585219725,28.4,295.44852610286927,0.9351666666666666,0.5014500362836649,153.23,5.71,3825.0579
China,2002,1280400000.0,1489821682050.541,1194.8562949078414,43.875802812218446,81.92179284998467,27.0,333.5089292050844,1.1526666666666667,1.18046179758413,151.62,5.74,4133.073
China,2003,1288400000.0,1683903309843.8486,1379.4846321018317,44.98276213271458,84.23097750252418,23.9,328.65826042496496,0.8994166666666668,0.6016494630504452,154.17,5.36,4773.1082
China,2004,1296075000.0,1984196551300.4358,1585.8387824778658,45.232832658255596,86.09237233291466,20.2,352.2643517379721,1.139,0.7603281089985646,153.51,5.1,5496.262
China,2005,1303720000.0,2317551298052.0522,1782.3121529162704,46.38162169845846,87.3709947582302,17.4,375.1049954969791,0.8753333333333333,0.74590038804715,155.03,6.08,6235.6852
China,2006,1311020000.0,2791498472804.3286,2039.0146603408034,46.886502859217245,88.28426537963281,16.4,374.7651380805872,1.3685,0.5231393217872272,150.63,6.2,6922.8741
China,2007,1317885000.0,3604055822571.6304,2325.9267690276465,46.18523623010748,89.30917398288543,14.9,385.3146357865108,1.60475,0.944101700471582,149.99,6.02,7522.0032
China,2008,1324655000.0,4667346414521.947,2446.3690545840236,46.236419130248166,89.52115711800536,14.1,372.65810231486006,1.0385,0.974933630219685,154.5,5.62,7752.2237
China,2009,1331260000.0,5189577094997.582,2612.4566200441686,45.178858723135626,90.1612712655318,13.4,383.9675873216207,1.22475,1.0067483238128585,150.53,5.76,8319.1638
China,2010,1337705000.0,6192564874453.29,2943.58995443689,45.70662071067777,90.80662758145954,12.3,425.23934029399254,0.9783333333333334,0.7099810247855611,153.63,7.13,9106.0051
China,2011,1345035000.0,7671757207851.289,3295.784868051761,45.800205410810726,91.42473187813448,11.3,444.6498062015504,0.766,1.120361920690512,155.71,6.76,9955.7482
China,2012,1354190000.0,8673664713189.244,3466.020277804444,44.682069816547845,91.14921917962157,11.5,457.33323844241386,0.54325,0.7347631279308092,155.05,4.76,10270.741
China,2013,1363240000.0,9743124247267.244,3757.185088465714,43.3938707801605,91.00012191436453,11.5,458.51615547615734,1.2124166666666667,0.546583854245826,151.95,7.13,10760.43
China,2014,1371860000.0,10674533168257.361,4006.168267899057,42.28271577910922,89.55484002130432,11.9,477.57927771833107,1.0121666666666667,0.7515786533838107,150.87,4.73,10881.1042
China,2015,1379860000.0,11280814787468.914,4017.0778194889335,40.047590216103224,71.06955889045516,12.2,465.61267963660043,1.4435833333333334,0.7641736777213816,149.84,4.96,10749.8966
China,2016,1387790000.0,11456024084961.979,4237.545305845985,38.81115609392099,0.0,12.6,480.0550717484046,1.4595833333333335,0.7866732123668351,148.15,6.81,10773.7258
China,2017,1396215000.0,12537559062282.92,4571.042425414424,39.129944350894974,0.0,13.1,460.4577548058835,1.4765,0.7701639976870728,148.09,7.24,10999.4188
China,2018,1402760000.0,14147765772963.76,4842.206792323705,38.97770017470965,0.0,13.5,442.5532465651757,1.2780833333333332,0.9087964071904236,147.34,6.42,11527.5117
China,2019,1407745000.0,14560167101283.44,5082.387790402381,37.76423331627352,0.0,14.3,427.75084723359413,1.5302499999999999,0.5737883066369804,148.36,6.75,11813.0582
China,2020,1411100000.0,14996414166715.092,5261.9410389058185,36.911562406630566,0.0,14.9,414.49144613371124,1.5891666666666666,0.8549159640312932,149.26,5.15,11964.1285
China,2021,1412360000.0,18201698719563.96,5847.802260047013,38.092472204071655,0.0,15.2,406.23433212499424,1.84,1.0187521779117823,146.81,6.37,12551.8645
China,2022,1412175000.0,18316765021690.156,6112.135535609963,37.8945266620066,0.0,,395.1390323053101,1.7533333333333332,1.0552327810593367,146.48,10.45,12518.6844
China,2023,1410710000.0,18270356654533.215,6523.719261931935,36.772503022356126,0.0,,394.0197422968981,2.0090833333333333,0.8171663904751726,147.33,8.43,13021.242
India,1990,864972221.0,320979026420.0351,270.9046537114167,27.45369549572011,58.72196723849349,53.0,73.52302412225696,-0.03866666666666665,0.6620526581943631,13.14,57.48,600.6812
India,1991,883927600.0,270105341879.22638,289.26124718811815,26.441720176925415,59.90357970288592,52.0,77.99931977791668,0.1385,0.3564885458655486,13.9,76.33,646.3805
India,1992,902957070.0,288208070278.0129,301.7186631032193,26.79274326963444,60.97755600135566,51.5,74.70166435165267,0.03316666666666668,0.36441021604169604,13.63,77.53,669.6564
India,1993,922118387.0,279295648982.52924,317.59913274563087,26.781554282073856,61.58776525234547,51.5,76.17673723444823,0.20083333333333334,0.38296406126714067,13.75,73.31,699.7472
India,1994,941163767.0,327274843459.429,337.32917812166477,27.628201247310592,62.212982213306844,50.5,83.45589293954777,0.07283333333333333,0.5414195590195175,12.99,70.76,743.8494
India,1995,960301044.0,360281909643.48914,354.3534625169063,28.59980942420241,64.11885885460104,49.5,85.70285527234098,0.266,0.5537522008985608,13.58,75.22,796.4452
India,1996,979678458.0,392896866204.5158,354.4458869789704,27.912270369841213,64.59502315325486,49.1,89.04232883092688,0.23866666666666667,0.40912474326977044,13.52,78.62,833.4883
India,1997,999133762.0,415867563592.82904,369.3969857061041,27.837030763310555,65.36867244125091,47.9,100.1725608133613,-0.0755,0.5560039718083556,13.78,64.48,877.681
India,1998,1018665080.0,421351317224.9413,379.59974047603555,27.303037851756486,65.54355820025913,48.0,104.06795160121183,0.6013333333333334,0.4149671339060748,12.94,73.93,900.5955
India,1999,1038225823.0,458821052615.7898,383.1295573544986,26.519293348859552,66.99997969547512,47.1,112.17102034477404,0.46025,0.5358935100994102,13.1,79.36,961.5943
India,2000,1057922733.0,468395521654.4579,384.9893638687883,27.325828377591748,67.251600486733,46.9,103.78611818803206,0.34541666666666665,0.6200700845245014,13.17,74.61,996.8909
India,2001,1077898575.0,485440139204.17053,384.81820982090085,26.48777734403069,67.12901706864484,47.1,108.18219865897396,0.48625,0.6079869961602797,12.93,68.16,1012.998
India,2002,1097600380.0,514939140318.7556,401.9987675295812,27.660654160788166,67.93666427644597,45.8,100.32905530068814,0.8424999999999999,0.38549524424217396,13.33,90.3,1051.0846
India,2003,1116803006.0,607700687237.3179,419.0551041550474,27.474107121198788,68.16546200360287,45.6,105.17720386235207,0.58825,0.2978347206645547,13.3,77.59,1083.014
India,2004,1135991513.0,709152728830.7745,441.6282993832543,29.219106305293003,69.01828735313458,44.9,115.27151007320846,0.58425,0.5828875141626098,13.37,83.61,1168.0565
India,2005,1154676322.0,820383763511.4454,458.87837994481714,29.533764191463725,69.34750849680626,44.2,127.61459195705075,0.48425,0.38705837737995025,13.53,81.16,1217.7273
India,2006,1172878890.0,940259888787.7214,500.4770782429207,30.92723994358829,70.04389071511903,43.2,136.40392154391097,0.7123333333333334,0.6798299215408382,12.81,76.77,1299.6787
India,2007,1190676021.0,1216736438834.9553,533.1248709173425,30.903238251086872,70.95317495650336,41.5,142.83522547493388,0.5668333333333333,0.2752165309150032,12.77,77.23,1415.2655
India,2008,1207930964.0,1198895139005.919,555.1045713569439,31.136719240954836,71.43996710292139,39.4,153.34939080350645,0.3558333333333333,0.7318726930886881,12.88,69.09,1519.7704
India,2009,1225524753.0,1341888016994.8982,588.3243061676454,31.12137211167441,75.57244496993198,37.4,167.45729591449052,1.0886666666666667,0.39034841986216473,13.47,93.89,1621.1797
India,2010,1243481564.0,1675615519484.959,629.8959491449284,30.725078228581665,74.84569360819648,36.2,179.03587692425276,1.04475,0.6556287217879745,13.1,89.53,1730.0542
India,2011,1261224954.0,1823051829894.5461,678.6037631792686,30.161679763040706,74.91097352691001,35.0,180.74829117270463,0.4038333333333333,0.49780314605496645,13.05,71.68,1845.6437
India,2012,1278674502.0,1827637590410.4143,709.2923168338896,29.39852769652889,75.07474778885921,34.8,163.12202164220102,0.49008333333333337,0.372666620080498,13.4,87.77,2015.2876
India,2013,1295829511.0,1856721507621.5764,743.8015509125104,28.40489956002461,74.98186720683603,34.9,156.49569808619168,0.3810833333333334,0.3710057183596441,13.02,69.48,2072.6256
India,2014,1312277191.0,2039126479154.5168,808.2934057489078,27.656401202644297,75.78572873440874,33.9,163.4980794181372,0.49066666666666664,0.5649816122868268,13.53,88.04,2237.6647
India,2015,1328024498.0,2103588360044.9392,841.0853878691024,27.34739147793997,45.956629150643,33.4,171.0382129362649,0.7952499999999999,0.6743168302066915,13.2,80.77,2278.2296
India,2016,1343944296.0,2294796885663.163,879.9456967969452,26.618999939978927,0.0,33.0,166.0030578887773,1.0795833333333333,0.47990996696139665,12.27,86.6,2311.9771
India,2017,1359657400.0,2651474262755.452,918.3136869626128,26.50001664648039,0.0,32.5,170.5692934346836,0.92525,0.34093868583661785,12.66,87.2,2441.2015
India,2018,1374659064.0,2702929641648.7407,970.8341762332424,26.412091901373508,0.0,32.9,176.0712126474485,0.8184166666666667,0.36907823432919423,12.74,86.89,2556.7189
India,2019,1389030312.0,2835606256558.195,988.2721695421144,24.591475307506645,0.0,33.5,186.45675778308413,0.7808333333333333,0.4820442291832659,13.32,87.43,2551.4851
India,2020,1402617695.0,2674851578587.2686,901.3995791633015,25.122905807834368,0.0,36.1,210.69195830144034,0.56225,0.5256420082464237,12.87,69.23,2356.959
India,2021,1414203896.0,3167270623260.4688,963.3639136856118,26.46652360650103,0.0,34.9,193.6010122137056,0.7158333333333333,0.6724203587703818,12.63,75.16,2597.9343
India,2022,1425423212.0,3346107287730.9272,1085.3352092038192,25.384519562946117,0.0,,193.75496939156656,0.851,0.6157430470577805,12.15,82.89,2807.0805
India,2023,1438069596.0,3638489096033.859,1181.6305724886488,25.302936496264028,0.0,,199.14121585481647,0.8938333333333333,0.7176619252049595,12.66,74.11,3014.5226
Indonesia,1990,183501098.0,106140727333.63564,160.66933833823708,39.38494007071676,62.24269956033809,59.2,123.47800325877648,0.0715,0.24730665848968428,,0.78,161.7687
Indonesia,1991,186778238.0,116621996217.1334,175.86631264826474,41.204773616378446,63.657272294905745,58.4,132.74155190531496,0.19991666666666666,0.30693958643717206,,1.41,174.6593
Indonesia,1992,190043744.0,128026966579.96375,191.97159155104836,39.97996032853056,64.55512389078885,57.5,142.66777133388567,0.21691666666666667,0.330871691730932,,0.22,182.5524
Indonesia,1993,193305168.0,158006700301.5332,210.14440752044456,39.6804980838497,67.76363351641143,56.1,127.80627723536874,0.24408333333333335,0.2478085478527504,,0.66,199.8507
Indonesia,1994,196591828.0,176892143931.50528,236.77484701958213,40.642044353025234,66.18281400239833,53.4,144.04998248277474,0.329,0.22225023434558322,,2.31,212.7475
Indonesia,1995,199888057.0,202132028723.11533,259.72036938655117,41.80083742176535,69.01075464037696,50.7,145.84246338369277,0.30275,0.188786972096417,,0.38,239.099
Indonesia,1996,203204348.0,227369679374.9733,292.30181629774967,43.45578405011191,69.89571076158909,49.3,151.37952176578787,0.3545833333333333,0.2571379196505685,,0.38,252.0076
Indonesia,1997,206536095.0,215748998609.635,325.284546509897,44.32895679722566,70.7162722987345,47.6,124.16253274622373,0.44683333333333336,0.22561945591834248,,3.84,275.5207
Indonesia,1998,209826788.0,95445547872.71503,324.3341836791592,45.22777054962393,69.83167500825688,48.9,152.037233153113,0.9168333333333334,0.384574837392614,,2.72,278.2434
Indonesia,1999,213004668.0,140001351215.46185,348.9735727294014,43.360061673230085,71.44707912250048,45.8,140.71122011036175,0.22041666666666668,0.1334593935330976,,0.64,295.25
Indonesia,2000,216077790.0,165021012077.80963,382.177177950589,41.96907464335643,76.1856536311886,45.6,138.98333426230423,0.28341666666666665,0.21225278103138143,,0.5,299.0702
Indonesia,2001,219097902.0,160446947784.90857,402.6966903589976,47.89350078538706,75.59692479914136,44.3,147.05467922635304,0.4409166666666667,0.17615734365112978,,0.8,319.562
Indonesia,2002,222088495.0,195660611165.18344,408.6028859802035,47.74533115925968,76.74978432396205,44.7,138.74488601527227,0.6539166666666666,0.1748144055531148,,2.14,324.9389
Indonesia,2003,225048008.0,234772463823.80835,419.82597775315566,43.749566091760805,76.97384881369138,43.0,163.76718131653755,0.5560833333333334,0.13693822106661419,,0.8,353.623
Indonesia,2004,227926649.0,256836875295.4519,464.7152953141517,44.62761597546016,78.52533569846436,41.5,180.47608698302187,0.5976666666666667,0.1395793283007512,,1.68,360.1513
Indonesia,2005,230871650.0,285868619196.0848,490.7142128537653,46.54105887107114,79.4076809996555,41.6,184.32625831183492,0.6848333333333333,0.2290170420635887,,0.83,362.597
Indonesia,2006,233951652.0,364570515618.35693,505.8139106450935,46.94355874107964,79.64180043176312,40.1,189.6275127091357,0.4583333333333333,0.2617022268830656,,2.54,383.4194
Indonesia,2007,237062337.0,432216737774.86053,535.3528595307824,46.799141520707266,79.36813335575005,40.0,222.92637199214116,0.37175,0.172497886460482,,0.66,401.7934
Indonesia,2008,240157903.0,510228634992.25824,558.9322621625323,48.06074476901724,78.44579996122415,41.1,234.02202327674388,0.21216666666666664,0.15366838393834376,,0.37,397.2554
Indonesia,2009,243220028.0,539580085612.4014,582.7110586468644,47.65212258116211,80.5786967611829,38.2,239.60359120323827,0.5765833333333333,0.18380490487349777,,2.5,411.3491
Indonesia,2010,246305322.0,755094157621.9355,653.9566367956921,42.77586633627486,86.42892598997082,36.0,239.5533931878169,0.6921666666666666,0.2906282944855087,,0.53,443.682
Indonesia,2011,249470032.0,892969104563.1713,697.5507182361688,43.913423426713344,80.44940571730606,32.4,260.87195439948766,0.33349999999999996,0.12102306942617733,,0.93,499.9362
