country,feature_set,kernel,C,epsilon,gamma,degree,valid,reason,n_splits,n_success_folds,n_failed_folds,cv_RMSE_absolute_mean,cv_RMSE_scaled_y_mean,cv_RMSE_relative_mean,cv_MAE_absolute_mean,cv_MAE_scaled_y_mean,cv_MAE_relative_mean,cv_MAPE_mean,cv_Accuracy_mean,cv_R_squared_mean
Canada,augmented,poly,100.0,0.001,auto,2.0,True,,5,5,0,0.1830230026351737,0.1830230026351737,-0.6314389973645179,0.16208514231425736,0.16208514231425736,-0.5097896339480978,4.224153623888609,-3.2241536238886086,-6.757414001526138
Canada,augmented,linear,100.0,0.01,,,True,,5,5,0,0.19812115333175143,0.19812115333175143,-1.0375005464582339,0.16340106478008098,0.16340106478008098,-0.8112789769596521,2.1773326534764563,-1.1773326534764568,-6.37101272583267
Canada,augmented,poly,100.0,0.001,0.1,2.0,True,,5,5,0,0.18473997426364683,0.18473997426364683,-0.6311165295429239,0.16360509055873043,0.16360509055873043,-0.5081887347175207,4.234510272864783,-3.234510272864783,-7.372535343076336
Canada,augmented,poly,1.0,0.001,1,2.0,True,,5,5,0,0.1847381375024738,0.1847381375024738,-0.631087650165402,0.16361569361396588,0.16361569361396588,-0.5081353389044478,4.234602900079752,-3.2346029000797514,-7.3550429711900165
Canada,augmented,poly,10.0,0.001,scale,2.0,True,,5,5,0,0.1854722581535502,0.1854722581535502,-0.629915084938194,0.16447180046486148,0.16447180046486148,-0.5081855265724571,4.23646011908754,-3.23646011908754,-7.661010852811906
Canada,augmented,poly,500.0,0.001,0.1,2.0,True,,5,5,0,0.18566576939299356,0.18566576939299356,-0.629370237873141,0.16464425746319858,0.16464425746319858,-0.5062285942379879,4.2365424036512085,-3.236542403651208,-7.7305893437994255
Canada,augmented,poly,500.0,0.001,auto,2.0,True,,5,5,0,0.1856509253679867,0.1856509253679867,-0.6264820480010205,0.16465406802160082,0.16465406802160082,-0.504943968399835,4.229167276726136,-3.2291672767261352,-7.740516044760646
Canada,augmented,poly,100.0,0.001,scale,2.0,True,,5,5,0,0.18566037763353194,0.18566037763353194,-0.6295602424137493,0.16469246133162746,0.16469246133162746,-0.5077693024843565,4.236892033049279,-3.236892033049279,-7.734867846342333
Canada,augmented,poly,500.0,0.001,scale,2.0,True,,5,5,0,0.18566037763353194,0.18566037763353194,-0.6295602424137493,0.16469246133162746,0.16469246133162746,-0.5077693024843565,4.236892033049279,-3.236892033049279,-7.734867846342333
Canada,augmented,poly,10.0,0.001,1,2.0,True,,5,5,0,0.18573349227504243,0.18573349227504243,-0.6292101508216307,0.16471663554907537,0.16471663554907537,-0.5060586745655968,4.236755476863776,-3.236755476863776,-7.739790130412581
Canada,augmented,poly,100.0,0.001,1,2.0,True,,5,5,0,0.18573349227504243,0.18573349227504243,-0.6292101508216307,0.16471663554907537,0.16471663554907537,-0.5060586745655968,4.236755476863776,-3.236755476863776,-7.739790130412581
Canada,augmented,poly,500.0,0.001,1,2.0,True,,5,5,0,0.18573349227504243,0.18573349227504243,-0.6292101508216307,0.16471663554907537,0.16471663554907537,-0.5060586745655968,4.236755476863776,-3.236755476863776,-7.739790130412581
Canada,augmented,rbf,1.0,0.001,0.1,,True,,5,5,0,0.17794639084721167,0.17794639084721167,-2.2558265881059856,0.16473842859083257,0.16473842859083257,-2.0153646509333525,5.487457499003966,-4.487457499003966,-3.474626805055318
