country,feature_set,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,reg_alpha,min_child_weight,random_state,valid,reason,n_splits,n_success_folds,n_failed_folds,cv_RMSE_absolute_mean,cv_RMSE_scaled_y_mean,cv_RMSE_relative_mean,cv_MAE_absolute_mean,cv_MAE_scaled_y_mean,cv_MAE_relative_mean,cv_MAPE_mean,cv_Accuracy_mean,cv_R_squared_mean
Canada,augmented,50,10,0.05,1.0,1.0,0.0,0.0,1,42,True,,5,5,0,0.14778680435186448,0.14778680435186448,-1.3780263808672408,0.13392124691763968,0.13392124691763968,-1.343477875691573,5.602513206153146,-4.602513206153146,-2.176725493374559
Canada,augmented,150,10,0.1,1.0,0.8,1.0,0.0,1,42,True,,5,5,0,0.14554529649446274,0.14554529649446274,-1.6081832212968776,0.13403644688349298,0.13403644688349298,-1.5803857284498721,5.551720880486858,-4.551720880486857,-3.3119689509231316
Canada,augmented,100,10,0.1,0.8,0.8,0.0,0.0,1,42,True,,5,5,0,0.14722855524068598,0.14722855524068598,-1.3649037933849997,0.13404793908926815,0.13404793908926815,-1.3827333739559697,6.048052967919581,-5.048052967919581,-6.119361723152451
Canada,augmented,150,10,0.1,0.8,0.8,0.0,0.0,1,42,True,,5,5,0,0.14722407069329016,0.14722407069329016,-1.3648431267369994,0.13405057921996497,0.13405057921996497,-1.3826513635779185,6.046928511219313,-5.046928511219313,-6.121139254769506
Canada,augmented,150,10,0.05,1.0,0.8,1.0,0.0,1,42,True,,5,5,0,0.14515297246622771,0.14515297246622771,-1.5964600726417493,0.13416430089544584,0.13416430089544584,-1.5745340031832868,5.587515528126676,-4.587515528126677,-3.6018624334972222
Canada,augmented,100,10,0.1,1.0,0.8,1.0,0.0,1,42,True,,5,5,0,0.14636321694269744,0.14636321694269744,-1.6163888893781884,0.13459037184637118,0.13459037184637118,-1.5891888398356928,5.590136193314352,-4.590136193314352,-3.3624318688047965
Canada,augmented,50,10,0.1,0.8,0.8,0.0,0.0,1,42,True,,5,5,0,0.14866538938683438,0.14866538938683438,-1.3957700771502317,0.13506605936787247,0.13506605936787247,-1.41400527296986,6.141361114370829,-5.141361114370829,-6.200573769934897
Canada,augmented,150,10,0.05,0.8,0.8,1.0,0.0,1,42,True,,5,5,0,0.14793481649481888,0.14793481649481888,-1.562890243206351,0.13607532098811198,0.13607532098811198,-1.5575438126967485,5.714999828607401,-4.714999828607401,-4.732334027267761
Canada,augmented,50,10,0.05,1.0,0.8,0.0,0.0,1,42,True,,5,5,0,0.1525145241072784,0.1525145241072784,-1.7759904264381376,0.13696575319293286,0.13696575319293286,-1.7741879231189688,6.6410780639520315,-5.6410780639520315,-2.7439339317618456
Canada,augmented,100,10,0.05,0.8,1.0,1.0,0.0,1,42,True,,5,5,0,0.15473551373703037,0.15473551373703037,-1.5262277800473982,0.13742135235825628,0.13742135235825628,-1.5086358532028687,6.197997388962998,-5.197997388962998,-4.548111458925848
