country,feature_set,n_steps,n_blocks,function,solver,alpha,valid,reason,n_splits,n_success_folds,n_failed_folds,cv_RMSE_absolute_mean,cv_RMSE_scaled_y_mean,cv_RMSE_relative_mean,cv_MAE_absolute_mean,cv_MAE_scaled_y_mean,cv_MAE_relative_mean,cv_MAPE_mean,cv_Accuracy_mean,cv_R_squared_mean
Canada,augmented,1,5,hyperbolic,svd,0.0,True,,5,5,0,0.1951284373341485,0.1951284373341485,-0.9731385622307359,0.17070171373325937,0.17070171373325937,-0.9513878191199552,4.40721198254113,-3.40721198254113,-5.482939180067289
Canada,augmented,1,5,hyperbolic,lsqr,0.0,True,,5,5,0,0.195129339963616,0.195129339963616,-0.9731362354982129,0.17070303970511722,0.17070303970511722,-0.9513844025488849,4.407214494117342,-3.407214494117343,-5.482966811904406
Canada,augmented,1,3,hyperbolic,lsqr,0.1,True,,5,5,0,0.20316098038832547,0.20316098038832547,-1.938351468416243,0.172196009399537,0.172196009399537,-1.827516036640152,5.700578879180085,-4.700578879180085,-6.475114362899444
Canada,augmented,1,3,hyperbolic,cholesky,0.1,True,,5,5,0,0.20316402584877732,0.20316402584877732,-1.9383450467237342,0.1722009638827259,0.1722009638827259,-1.8275072687148022,5.7005912671286545,-4.7005912671286545,-6.4757483322956775
Canada,augmented,1,3,hyperbolic,svd,0.1,True,,5,5,0,0.2031640258487774,0.2031640258487774,-1.9383450467237349,0.17220096388272593,0.17220096388272593,-1.8275072687148028,5.7005912671286545,-4.7005912671286545,-6.475748332295683
Canada,augmented,1,2,hyperbolic,lsqr,0.1,True,,5,5,0,0.2003548998841392,0.2003548998841392,-2.0986504764703047,0.17310068780182478,0.17310068780182478,-2.1128257541401645,7.531364868681725,-6.531364868681725,-4.738421258712338
Canada,augmented,1,2,hyperbolic,svd,0.1,True,,5,5,0,0.20038386571821562,0.20038386571821562,-2.0985885633408534,0.17314792026073922,0.17314792026073922,-2.112716390140151,7.5314873500799875,-6.5314873500799875,-4.741153106367326
Canada,augmented,1,2,hyperbolic,cholesky,0.1,True,,5,5,0,0.2003838657182157,0.2003838657182157,-2.098588563340852,0.17314792026073925,0.17314792026073925,-2.1127163901401507,7.531487350079997,-6.531487350079997,-4.741153106367326
Canada,augmented,1,4,hyperbolic,lsqr,0.01,True,,5,5,0,0.195261624175735,0.195261624175735,-0.8265004414206854,0.17413046861150452,0.17413046861150452,-0.7560063185464636,2.628304830983443,-1.6283048309834431,-4.715294913544743
Canada,augmented,1,4,hyperbolic,svd,0.01,True,,5,5,0,0.1952619984537292,0.1952619984537292,-0.8264997354356121,0.17413127235902087,0.17413127235902087,-0.7560048024692266,2.62830637019771,-1.6283063701977099,-4.715403339224542
Canada,augmented,1,4,hyperbolic,cholesky,0.01,True,,5,5,0,0.19526199845373013,0.19526199845373013,-0.8264997354356106,0.1741312723590225,0.1741312723590225,-0.7560048024692236,2.628306370197712,-1.628306370197712,-4.7154033392247365
Canada,augmented,1,5,hyperbolic,lsqr,0.0001,True,,5,5,0,0.2179627640754429,0.2179627640754429,-0.9322871856092807,0.19610042602973596,0.19610042602973596,-0.9063614325676008,4.453561200750982,-3.4535612007509817,-9.044791937660198
Canada,augmented,1,5,hyperbolic,cholesky,0.0001,True,,5,5,0,0.2179627640909564,0.2179627640909564,-0.9322871855800402,0.19610042603856753,0.19610042603856753,-0.9063614325509615,4.453561200768268,-3.453561200768269,-9.044791943847965
Canada,augmented,1,5,hyperbolic,svd,0.0001,True,,5,5,0,0.21796276409098567,0.21796276409098567,-0.9322871855799815,0.1961004260386005,0.1961004260386005,-0.9063614325508965,4.4535612007683305,-3.4535612007683305,-9.044791943844803
Canada,augmented,1,3,hyperbolic,lsqr,0.01,True,,5,5,0,0.28251734607785,0.28251734607785,-1.656335135473644,0.2276409614765747,0.2276409614765747,-1.1453335955256503,1.3390879294509033,-0.33908792945090316,-14.742567032923139
Canada,augmented,1,3,hyperbolic,cholesky,0.01,True,,5,5,0,0.28250018332059723,0.28250018332059723,-1.6563794903889448,0.22765622910727376,0.22765622910727376,-1.1453162008533746,1.339112339303119,-0.339112339303119,-14.741873168370404
Canada,augmented,1,3,hyperbolic,svd,0.01,True,,5,5,0,0.2825001833205982,0.2825001833205982,-1.656379490388942,0.22765622910727573,0.22765622910727573,-1.1453162008533682,1.3391123393031168,-0.33911233930311674,-14.74187316837046
Canada,augmented,1,2,hyperbolic,lsqr,0.0001,True,,5,5,0,0.28541355781579253,0.28541355781579253,-1.7637889614427185,0.23972829967976814,0.23972829967976814,-1.6885190915761086,12.664154591551272,-11.664154591551272,-17.375580621496784
Canada,augmented,1,2,hyperbolic,cholesky,0.0001,True,,5,5,0,0.2855325108615475,0.2855325108615475,-1.7632573973867793,0.2399711943881863,0.2399711943881863,-1.6877069535526754,12.664802455834323,-11.664802455834323,-17.20336150077921
Canada,augmented,1,2,hyperbolic,svd,0.0001,True,,5,5,0,0.28553251086157416,0.28553251086157416,-1.7632573973867398,0.23997119438819228,0.23997119438819228,-1.6877069535526725,12.664802455834383,-11.664802455834385,-17.20336150080012
Canada,augmented,1,2,hyperbolic,cholesky,0.001,True,,5,5,0,0.2729924428893629,0.2729924428893629,-1.7988189842400277,0.2411735159711219,0.2411735159711219,-1.7190677818425182,12.526563358607872,-11.526563358607872,-11.144786841021224
Canada,augmented,1,2,hyperbolic,svd,0.001,True,,5,5,0,0.27299244288937446,0.27299244288937446,-1.7988189842400046,0.24117351597113418,0.24117351597113418,-1.7190677818424909,12.526563358607955,-11.526563358607955,-11.14478684102298
Canada,augmented,1,2,hyperbolic,lsqr,0.001,True,,5,5,0,0.2728847427475165,0.2728847427475165,-1.7989729893590631,0.2426847701540496,0.2426847701540496,-1.7161648264761697,12.529477716067777,-11.529477716067777,-11.085292815869398
Canada,augmented,1,2,hyperbolic,lsqr,0.01,True,,5,5,0,0.2850759478790851,0.2850759478790851,-1.9508836643741614,0.24529588683278902,0.24529588683278902,-1.992457239400503,12.85295906263759,-11.85295906263759,-35.755209002746575
Canada,augmented,1,2,hyperbolic,svd,0.01,True,,5,5,0,0.2852163326389847,0.2852163326389847,-1.9505574552565776,0.24543187847206765,0.24543187847206765,-1.9921496563399892,12.853247624116477,-11.853247624116479,-35.81219218211684
Canada,augmented,1,2,hyperbolic,cholesky,0.01,True,,5,5,0,0.2852163326389859,0.2852163326389859,-1.9505574552565683,0.2454318784720683,0.2454318784720683,-1.9921496563399816,12.853247624116381,-11.853247624116381,-35.812192182118274
Canada,augmented,1,4,hyperbolic,lsqr,0.001,True,,5,5,0,0.35644649383244975,0.35644649383244975,-0.3425326337763278,0.27907366345610296,0.27907366345610296,-0.3320701712198697,1.1102267649845026,-0.11022676498450253,-90.80584084232734
Canada,augmented,1,4,hyperbolic,svd,0.001,True,,5,5,0,0.35644649385301774,0.35644649385301774,-0.34253263373753684,0.2790736636294141,0.2790736636294141,-0.3320701708930055,1.1102267653216684,-0.11022676532166824,-90.80584087546119
Canada,augmented,1,4,hyperbolic,cholesky,0.001,True,,5,5,0,0.35644649385300897,0.35644649385300897,-0.3425326337375515,0.2790736636294203,0.2790736636294203,-0.33207017089298185,1.1102267653216884,-0.11022676532168851,-90.80584087545915
