country,feature_set,p,d,q,trend,seasonal_order,valid,reason,n_splits,n_success_folds,n_failed_folds,cv_RMSE_absolute_mean,cv_RMSE_scaled_y_mean,cv_RMSE_relative_mean,cv_MAE_absolute_mean,cv_MAE_scaled_y_mean,cv_MAE_relative_mean,cv_MAPE_mean,cv_Accuracy_mean,cv_R_squared_mean
Canada,augmented,3,1,3,c,"(0, 0, 0, 0)",True,,5,5,0,0.31013670396735094,0.31013670396735094,-2.6154351177040653,0.2708525922072384,0.2708525922072384,-2.2216062190654347,4.489596531223066,-3.4895965312230657,-11.821786133305633
Canada,augmented,3,0,1,c,"(0, 0, 0, 0)",True,,5,5,0,0.37663597387724246,0.37663597387724246,-11.21042229055658,0.28282920111332677,0.28282920111332677,-7.580007842556372,16.264455487621895,-15.264455487621897,-18.901333301751592
Canada,augmented,2,1,0,c,"(0, 0, 0, 0)",True,,5,5,0,0.33357603271966974,0.33357603271966974,-2.580981488884688,0.285247233648733,0.285247233648733,-2.1972843653474334,4.48763014026157,-3.4876301402615697,-14.20254378308725
Canada,augmented,3,0,1,n,"(0, 0, 0, 0)",True,,5,5,0,0.3778235374053575,0.3778235374053575,-11.21365595377237,0.2856530632811342,0.2856530632811342,-7.576847520321046,16.291835741210544,-15.291835741210544,-20.431347497765437
Canada,augmented,2,0,1,n,"(0, 0, 0, 0)",True,,5,5,0,0.38468862530966874,0.38468862530966874,-11.189739809481798,0.29042960399566004,0.29042960399566004,-7.562005373106224,16.304090065515165,-15.304090065515165,-21.16742706920155
Canada,augmented,3,1,1,c,"(0, 0, 0, 0)",True,,5,5,0,0.3551095598998025,0.3551095598998025,-2.5267415545125527,0.29075883896791216,0.29075883896791216,-2.1874522351404253,4.53810610033768,-3.538106100337681,-15.997037030240795
Canada,augmented,3,0,3,c,"(0, 0, 0, 0)",True,,5,5,0,0.4056689200827363,0.4056689200827363,-11.14037834248701,0.2919373538691858,0.2919373538691858,-7.554481819737637,16.312317626507237,-15.312317626507237,-20.188434990758054
Canada,augmented,2,0,2,c,"(0, 0, 0, 0)",True,,5,5,0,0.40756902908067183,0.40756902908067183,-11.131674296078362,0.2946042356549946,0.2946042356549946,-7.550869716389348,16.299303976427698,-15.299303976427698,-20.72190500443914
Canada,augmented,2,0,2,n,"(0, 0, 0, 0)",True,,5,5,0,0.39375722279168074,0.39375722279168074,-11.17659674091578,0.2952037415707235,0.2952037415707235,-7.553191491465947,16.31328856038814,-15.313288560388141,-21.251056005876382
Canada,augmented,1,0,1,n,"(0, 0, 0, 0)",True,,5,5,0,0.38705045698959134,0.38705045698959134,-11.210930349057799,0.2982437169088006,0.2982437169088006,-7.567720724287513,16.31946107750629,-15.31946107750629,-22.83243630663604
