model,feature_set,country,fold,fold_train_MAE,fold_val_MAE,fold_val_RMSE,fold_val_MAPE
ARIMAX,baseline,Indonesia,0,0.006143615867064277,0.05544435750735387,0.07483574983619301,0.10329830431185771
ARIMAX,baseline,Indonesia,1,0.009093153488787703,0.019377050761297906,0.024903484805976806,0.05570347743065986
ARIMAX,baseline,Indonesia,2,0.010246125808159472,0.03381376750436899,0.03782829664379629,0.13809278277476272
ARIMAX,baseline,Indonesia,3,0.01904746451324234,0.05314724156479396,0.06780782508085996,0.526846086683464
ARIMAX,baseline,Indonesia,4,0.02662910615018461,0.03223168983599192,0.04278757072651561,0.9740035878235582
ARIMAX,augmented,Canada,0,0.03147384260271191,0.282438940343004,0.3317858660234199,19.57299739474169
ARIMAX,augmented,Canada,1,0.18065716339009677,0.10712133015866954,0.1481330799216929,0.4337755808545033
ARIMAX,augmented,Canada,2,1.026469869736219,0.39470125219688995,0.5073362483531004,0.7344371827124088
ARIMAX,augmented,Canada,3,0.5625380234137562,0.02347047078172465,0.03456367016873113,0.062011032617861214
ARIMAX,augmented,Canada,4,0.4840099679363358,0.05806546993445799,0.07874971674311658,0.11099390421620375
ARIMAX,augmented,Russian Federation,0,3.7179042245094608e-06,0.3363620557978888,0.36085307249045195,0.438543175523241
ARIMAX,augmented,Russian Federation,1,3.0393403166585465e-06,0.25497630253486137,0.27949813731867706,0.4180434875377441
ARIMAX,augmented,Russian Federation,2,0.022732424215447574,0.09071832044265282,0.10643536779672327,0.20952854776175067
ARIMAX,augmented,Russian Federation,3,0.15741667483805802,0.1963454758710283,0.22887500330813848,0.5946087641535391
ARIMAX,augmented,Russian Federation,4,0.18583558920615792,0.15526239900668865,0.19857501276865888,0.3395781254098466
ARIMAX,augmented,China,0,3.9071585641949265e-06,0.0073976389310276,0.008363341238499683,0.010482558735944301
ARIMAX,augmented,China,1,0.012930087372550213,0.012830458105889592,0.015202335779620144,0.027964330877575008
ARIMAX,augmented,China,2,0.14027840648709736,0.01688099256760066,0.01864999748268137,0.3919546530836665
ARIMAX,augmented,China,3,0.16215380782074246,0.0422128259225588,0.04652057479869831,0.23866631254016588
ARIMAX,augmented,China,4,0.009645437103332249,0.06653977417313095,0.08707690443462951,0.12848590270145085
ARIMAX,augmented,United States,0,4.370533885893896e-06,0.3218195939394681,0.4271505128338053,0.40918127243408725
ARIMAX,augmented,United States,1,0.06745432134579914,0.24935179640901636,0.286890270326272,0.3391987796308853
ARIMAX,augmented,United States,2,0.12235270036333369,0.1790128564459565,0.18764682877249073,0.24460341253436016
ARIMAX,augmented,United States,3,0.08140810797044618,0.09260889183584584,0.10976134109346755,0.6279619396656688
ARIMAX,augmented,United States,4,0.07331230440516419,0.17341328577155984,0.19376356067528455,3.3611458655654407
ARIMAX,augmented,India,0,3.730537928934931e-06,0.018788465040005975,0.02058887987537414,0.028893655005742716
ARIMAX,augmented,India,1,0.00016884952134200613,0.02766574596148999,0.031095587944145558,0.05302652311011783
ARIMAX,augmented,India,2,0.005909155505098888,0.029831163994259557,0.03559037743665048,0.11047839209944721
ARIMAX,augmented,India,3,0.005794771229475716,0.028595989441372094,0.037857166393570715,0.2657619753324195
ARIMAX,augmented,India,4,0.01375588498027432,0.021543063495490164,0.03084634574815914,0.06148407009220716
ARIMAX,augmented,Indonesia,0,4.440892098500626e-16,0.05032877495202347,0.052470222953335206,0.09373984209439014
ARIMAX,augmented,Indonesia,1,0.0007187979738457144,0.04067552368735773,0.04409420422842917,0.11253418744489467
ARIMAX,augmented,Indonesia,2,0.007716445030549827,0.03456972615529675,0.03574297525740075,0.14801443753252294
ARIMAX,augmented,Indonesia,3,0.011176481751817005,0.0295707796788436,0.03538241997325212,0.25709449738755946
ARIMAX,augmented,Indonesia,4,0.013556939944020093,0.06116754437158608,0.07503202348487689,1.6265067437849972
